,bathroomcnt,bedroomcnt,taxvaluedollarcnt,taxamount,calculatedfinishedsquarefeet,yearbuilt,fips
0,3.5,4.0,1023282.0,11013.72,3100.0,1998.0,6059.0
1,1.0,2.0,464000.0,5672.48,1465.0,1967.0,6111.0
2,2.0,3.0,564778.0,6488.3,1243.0,1962.0,6059.0
3,3.0,4.0,145143.0,1777.51,2376.0,1970.0,6037.0
4,3.0,4.0,773303.0,9516.26,2962.0,1950.0,6037.0
5,1.0,2.0,218552.0,2366.08,738.0,1922.0,6037.0
6,3.0,4.0,220583.0,3104.19,3039.0,1970.0,6037.0
7,3.0,4.0,430108.0,6103.36,2540.0,1999.0,6037.0
8,2.5,3.0,319668.0,4078.08,1340.0,1980.0,6059.0
9,2.5,3.0,198054.0,2204.84,1371.0,2004.0,6111.0
10,2.0,4.0,528847.0,5496.44,1677.0,1981.0,6059.0
11,1.0,2.0,273745.0,3739.02,1146.0,1939.0,6037.0
12,2.5,3.0,597213.0,6172.28,2074.0,1978.0,6059.0
13,2.5,3.0,534612.0,7141.56,2018.0,1998.0,6059.0
14,1.0,2.0,171838.0,2220.23,1316.0,1908.0,6037.0
15,1.0,3.0,432754.0,5212.75,1641.0,1944.0,6037.0
16,4.5,6.0,2040000.0,21758.26,3870.0,1972.0,6059.0
17,2.0,3.0,401399.0,5438.41,1538.0,1972.0,6037.0
18,2.0,3.0,85035.0,1232.08,1851.0,1920.0,6037.0
19,3.0,2.0,954106.0,10696.14,3230.0,1967.0,6059.0
20,3.0,4.0,1083000.0,12371.76,2447.0,1967.0,6037.0
21,2.5,4.0,703127.0,8287.36,1987.0,1989.0,6059.0
22,3.0,3.0,1444248.0,16542.97,3641.0,1980.0,6037.0
23,4.0,5.0,1473080.0,17643.27,3572.0,1967.0,6037.0
24,2.5,4.0,800017.0,8138.06,1979.0,1977.0,6059.0
25,3.0,3.0,833227.0,10149.06,2637.0,1952.0,6037.0
26,2.0,5.0,166428.0,2196.73,1818.0,1948.0,6037.0
27,3.0,4.0,691816.0,8451.5,3160.0,1941.0,6037.0
28,2.0,2.0,657099.0,7999.31,1529.0,1928.0,6037.0
29,2.0,3.0,70755.0,1050.39,1447.0,1901.0,6037.0
30,1.0,3.0,248916.0,3557.65,872.0,1922.0,6037.0
31,5.0,4.0,1814004.0,20454.76,5492.0,2006.0,6037.0
32,3.0,4.0,309821.0,3896.48,2317.0,1953.0,6037.0
33,5.0,4.0,1279000.0,19822.16,4468.0,2007.0,6059.0
34,2.5,3.0,638000.0,9013.36,1734.0,2000.0,6059.0
35,2.0,3.0,103293.0,1498.58,1815.0,1958.0,6037.0
36,1.0,2.0,162320.0,2251.73,609.0,1948.0,6037.0
37,3.0,3.0,654279.0,7676.28,2380.0,1991.0,6037.0
38,4.0,4.0,579059.0,9018.36,3415.0,1999.0,6059.0
39,2.0,2.0,815542.0,8272.94,1367.0,2014.0,6059.0
40,2.0,2.0,310117.0,3749.29,1814.0,1962.0,6037.0
41,1.0,2.0,241624.0,3083.24,928.0,1948.0,6037.0
42,2.0,3.0,200726.0,3015.21,1463.0,1984.0,6037.0
43,2.0,3.0,606645.0,6760.54,1481.0,1962.0,6059.0
44,2.0,4.0,97097.0,1307.93,1625.0,1956.0,6037.0
45,6.5,5.0,3624442.0,38491.98,9586.0,1992.0,6059.0
46,1.0,2.0,40746.0,668.7,812.0,1917.0,6037.0
47,3.0,3.0,605540.0,7345.85,2406.0,1979.0,6037.0
48,1.0,2.0,164836.0,2086.91,776.0,1946.0,6037.0
49,2.0,3.0,187119.0,2481.45,1059.0,1955.0,6037.0
50,1.0,2.0,232000.0,3002.3,1046.0,1885.0,6037.0
51,4.0,5.0,737397.0,8924.13,5900.0,1989.0,6037.0
52,5.0,5.0,852836.0,10295.58,5823.0,1998.0,6037.0
53,2.0,3.0,334119.0,4033.54,1457.0,1944.0,6037.0
54,4.0,4.0,1289594.0,14745.19,3721.0,1963.0,6037.0
55,2.0,3.0,218510.0,2800.12,1152.0,1971.0,6059.0
56,2.0,3.0,963231.0,11648.69,1607.0,1939.0,6037.0
57,2.5,3.0,730498.0,13310.5,2283.0,2006.0,6059.0
58,1.0,2.0,49034.0,1179.11,1027.0,1951.0,6037.0
59,3.0,5.0,473286.0,5764.04,2453.0,1999.0,6059.0
